client_time,device_time,gsr_data
1625628510154,1.6256285097310395E9,0.5282389
1625628510154,1.6256285099810395E9,0.35523838
1625628511654,1.6256285102310395E9,0.24246767
1625628511654,1.6256285104810395E9,0.24246767
1625628511654,1.6256285107310395E9,0.22708984
1625628511654,1.6256285109810395E9,0.24118619
1625628511654,1.6256285112310395E9,0.22452687
1625628511654,1.6256285114810395E9,0.2386232
1625628513154,1.6256285117310395E9,0.23606023
1625628513154,1.6256285119810395E9,0.23349726
1625628513154,1.6256285122310395E9,0.22068241
1625628513154,1.6256285124810395E9,0.21940093
1625628513154,1.6256285127310395E9,0.21811944
1625628513154,1.6256285129810395E9,0.21683796
1625628514656,1.6256285132310395E9,0.21683796
1625628514656,1.6256285134810395E9,0.2129935
1625628514656,1.6256285137310395E9,0.20402311
1625628514656,1.6256285139810395E9,0.19248973
1625628514656,1.6256285142310395E9,0.11560061
1625628514656,1.6256285144810395E9,0.1425118
1625628516154,1.6256285147310395E9,0.15404518
1625628516154,1.6256285149810395E9,0.17454894
